id,full_name,email,course,enrollment_date,gpa,status,created_at
1,Student 0001,student0001@university.edu,CS101,2025-11-02,2.97,active,2026-03-13T17:41:32.307679Z
2,Student 0002,student0002@university.edu,ENG202,2025-10-17,2.4,active,2026-03-12T17:41:32.307679Z
3,Student 0003,student0003@university.edu,CS101,2025-10-16,3.19,active,2026-03-15T17:41:32.307679Z
4,Student 0004,student0004@university.edu,ENG202,2025-07-24,3.93,active,2026-03-16T17:41:32.307679Z
5,Student 0005,student0005@university.edu,CS101,2025-09-29,2.77,active,2026-03-17T17:41:32.307679Z
6,Student 0006,student0006@university.edu,CS101,2025-10-16,2.31,active,2026-03-17T17:41:32.307679Z
7,Student 0007,student0007@university.edu,PHYS301,2025-06-07,2.98,active,2026-03-13T17:41:32.307679Z
8,Student 0008,student0008@university.edu,BIO110,2025-10-19,3.24,active,2026-03-17T17:41:32.307679Z
9,Student 0009,student0009@university.edu,ENG202,2025-09-20,2.93,active,2026-03-16T17:41:32.307679Z
10,Student 0010,student0010@university.edu,CS101,2025-09-10,2.76,inactive,2026-03-18T17:41:32.307679Z
11,Student 0011,student0011@university.edu,PHYS301,2025-07-15,2.5,active,2026-03-15T17:41:32.307679Z
12,Student 0012,student0012@university.edu,PHYS301,2025-05-13,2.43,inactive,2026-03-13T17:41:32.307679Z
13,Student 0013,student0013@university.edu,ENG202,2025-05-30,3.61,active,2026-03-18T17:41:32.307679Z
14,Student 0014,student0014@university.edu,PHYS301,2025-05-29,4.0,active,2026-03-15T17:41:32.307679Z
15,Student 0015,student0015@university.edu,PHYS301,2025-10-25,3.03,active,2026-03-16T17:41:32.307679Z
16,Student 0016,student0016@university.edu,CS101,2025-09-15,3.2,inactive,2026-03-17T17:41:32.307679Z
17,Student 0017,student0017@university.edu,MATH201,2025-05-25,1.5,active,2026-03-14T17:41:32.307679Z
18,Student 0018,student0018@university.edu,PHYS301,2025-10-04,3.01,active,2026-03-16T17:41:32.307679Z
19,Student 0019,student0019@university.edu,ENG202,2025-07-22,3.65,active,2026-03-14T17:41:32.307679Z
20,Student 0020,student0020@university.edu,ENG202,2025-07-05,2.52,active,2026-03-12T17:41:32.307679Z
21,Student 0021,student0021@university.edu,CS101,2025-09-30,2.01,active,2026-03-13T17:41:32.307679Z
22,Student 0022,student0022@university.edu,BIO110,2025-08-03,1.98,active,2026-03-19T17:41:32.307679Z
23,Student 0023,student0023@university.edu,ENG202,2025-09-05,4.0,active,2026-03-13T17:41:32.307679Z
24,Student 0024,student0024@university.edu,ENG202,2025-09-01,2.71,active,2026-03-17T17:41:32.307679Z
25,Student 0025,student0025@university.edu,CS101,2025-08-25,2.19,dropout,2026-03-16T17:41:32.307679Z
26,Student 0026,student0026@university.edu,ENG202,2025-09-24,3.35,active,2026-03-13T17:41:32.307679Z
27,Student 0027,student0027@university.edu,PHYS301,2025-05-29,2.47,active,2026-03-14T17:41:32.307679Z
28,Student 0028,student0028@university.edu,ENG202,2025-06-26,2.97,inactive,2026-03-17T17:41:32.307679Z
29,Student 0029,student0029@university.edu,BIO110,2025-11-04,3.58,dropout,2026-03-16T17:41:32.307679Z
30,Student 0030,student0030@university.edu,MATH201,2025-10-25,3.49,active,2026-03-13T17:41:32.307679Z
31,Student 0031,student0031@university.edu,CS101,2025-07-07,3.89,active,2026-03-14T17:41:32.307679Z
32,Student 0032,student0032@university.edu,MATH201,2025-05-24,1.5,active,2026-03-14T17:41:32.307679Z
33,Student 0033,student0033@university.edu,PHYS301,2025-06-26,3.58,active,2026-03-15T17:41:32.307679Z
34,Student 0034,student0034@university.edu,PHYS301,2025-07-29,2.4,dropout,2026-03-17T17:41:32.307679Z
35,Student 0035,student0035@university.edu,BIO110,2025-06-29,2.42,active,2026-03-12T17:41:32.307679Z
36,Student 0036,student0036@university.edu,ENG202,2025-06-20,3.18,active,2026-03-15T17:41:32.307679Z
